scenario_id,intent,tone,key_facts_count,model_name,generation_success,generation_latency_ms,generation_error,fact_integration_score,tone_consistency_score,actionability_score,average_score,fact_integration_reasoning,tone_consistency_reasoning,actionability_reasoning,fact_integration_error,tone_consistency_error,actionability_error,evaluated_at
1,Follow up after a job interview,formal,5,meta-llama/llama-4-scout-17b-16e-instruct,True,560.2109432220459,,1.0,0.8667,0.3333,0.7333,Found 5/5 key facts. Score = 1.00,Opening:8.0/10 Body:8.0/10 Closing:10.0/10 avg=8.7 penalty=0.0 final=0.87,ClearAsk:YES NextStep:NO Timeframe:NO = 1/3 = 0.33,,,,2026-04-15T11:35:35.094130+00:00
2,Request a project status update from a team member,urgent,5,meta-llama/llama-4-scout-17b-16e-instruct,True,1061.7618560791016,,1.0,0.4667,1.0,0.8222,Found 5/5 key facts. Score = 1.00,Opening:8.0/10 Body:8.0/10 Closing:1.0/10 avg=5.7 penalty=0.1 final=0.47,ClearAsk:YES NextStep:YES Timeframe:YES = 3/3 = 1.00,,,,2026-04-15T11:35:43.680475+00:00
3,Apologize for a service outage and reassure a customer,empathetic,5,meta-llama/llama-4-scout-17b-16e-instruct,True,839.6832942962646,,1.0,0.8,0.3333,0.7111,Found 5/5 key facts. Score = 1.00,Opening:8.0/10 Body:10.0/10 Closing:6.0/10 avg=8.0 penalty=0.0 final=0.80,ClearAsk:YES NextStep:NO Timeframe:NO = 1/3 = 0.33,,,,2026-04-15T11:35:52.558029+00:00
4,Send a sales proposal to a potential client,formal,5,meta-llama/llama-4-scout-17b-16e-instruct,True,822.0748901367188,,1.0,0.9333,0.6667,0.8667,Found 5/5 key facts. Score = 1.00,Opening:8.0/10 Body:10.0/10 Closing:10.0/10 avg=9.3 penalty=0.0 final=0.93,ClearAsk:YES NextStep:YES Timeframe:NO = 2/3 = 0.67,,,,2026-04-15T11:36:00.882214+00:00
5,Inform a client about a project delay,empathetic,5,meta-llama/llama-4-scout-17b-16e-instruct,True,1494.8508739471436,,1.0,0.3667,0.6667,0.6778,Found 5/5 key facts. Score = 1.00,Opening:2.0/10 Body:8.0/10 Closing:4.0/10 avg=4.7 penalty=0.1 final=0.37,ClearAsk:YES NextStep:NO Timeframe:YES = 2/3 = 0.67,,,,2026-04-15T11:36:10.093530+00:00
6,Request approval for a budget increase from a manager,formal,5,meta-llama/llama-4-scout-17b-16e-instruct,True,778.5959243774414,,1.0,0.9333,1.0,0.9778,Found 5/5 key facts. Score = 1.00,Opening:8.0/10 Body:10.0/10 Closing:10.0/10 avg=9.3 penalty=0.0 final=0.93,ClearAsk:YES NextStep:YES Timeframe:YES = 3/3 = 1.00,,,,2026-04-15T11:36:19.284259+00:00
7,Invite a colleague to collaborate on a research paper,casual,5,meta-llama/llama-4-scout-17b-16e-instruct,True,804.5990467071533,,1.0,0.4333,1.0,0.8111,Found 5/5 key facts. Score = 1.00,Opening:6.0/10 Body:8.0/10 Closing:2.0/10 avg=5.3 penalty=0.1 final=0.43,ClearAsk:YES NextStep:YES Timeframe:YES = 3/3 = 1.00,,,,2026-04-15T11:36:27.585345+00:00
8,Follow up on an unpaid invoice,formal,5,meta-llama/llama-4-scout-17b-16e-instruct,True,695.7888603210449,,1.0,0.8667,1.0,0.9556,Found 5/5 key facts. Score = 1.00,Opening:8.0/10 Body:8.0/10 Closing:10.0/10 avg=8.7 penalty=0.0 final=0.87,ClearAsk:YES NextStep:YES Timeframe:YES = 3/3 = 1.00,,,,2026-04-15T11:36:35.782824+00:00
9,Welcome a new employee joining the team,casual,5,meta-llama/llama-4-scout-17b-16e-instruct,True,689.6300315856934,,1.0,0.5,0.6667,0.7222,Found 5/5 key facts. Score = 1.00,Opening:8.0/10 Body:8.0/10 Closing:2.0/10 avg=6.0 penalty=0.1 final=0.50,ClearAsk:NO NextStep:YES Timeframe:YES = 2/3 = 0.67,,,,2026-04-15T11:36:43.965683+00:00
10,Escalate a critical production bug to senior engineering leadership,urgent,5,meta-llama/llama-4-scout-17b-16e-instruct,True,802.7839660644531,,1.0,0.4667,1.0,0.8222,Found 5/5 key facts. Score = 1.00,Opening:8.0/10 Body:8.0/10 Closing:1.0/10 avg=5.7 penalty=0.1 final=0.47,ClearAsk:YES NextStep:YES Timeframe:YES = 3/3 = 1.00,,,,2026-04-15T11:36:52.284505+00:00
